chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
lower,HR 54,NCV00007839,lower,A2 Blust   R2 For Adoption,2013-02-06,other,117,0,3
lower,HR 54,NCV00007840,lower,A3 Jackson   R2 For Adoption,2013-02-06,other,42,77,1
lower,HR 54,NCV00007841,lower,"A4 Hall, L.   R2 For Adoption",2013-02-06,other,117,0,3
lower,HR 54,NCV00007842,lower,"A5 Hall, L.   R2 For Adoption",2013-02-06,other,42,76,2
lower,HR 54,NCV00007843,lower,A1 Luebke   R2 For Adoption,2013-02-06,other,42,77,1
lower,HB 56,NCV00007844,lower,Second Reading,2013-02-28,other,112,0,8
lower,HJR 64,NCV00007845,upper,Second Reading,2013-02-06,other,49,0,1
lower,HB 66,NCV00007847,upper,SECOND READING,2013-02-21,other,41,2,7
lower,HB 66,NCV00007848,lower,Second Reading,2013-02-12,other,101,13,6
lower,HB 66,NCV00007849,lower,A1 Hager   Second Reading,2013-02-12,other,104,11,5
lower,HB 66,NCV00007851,lower,A2 Insko   Third Reading,2013-02-13,other,37,80,3
lower,HB 75,NCV00007852,lower,Second Reading,2013-03-12,other,118,0,2
lower,HB 77,NCV00007853,upper,SECOND READING,2013-02-28,other,48,0,2
lower,HB 77,NCV00007854,lower,Second Reading,2013-02-19,other,115,1,4
lower,HB 77,NCV00007855,lower,Third Reading,2013-02-20,other,117,0,3
lower,HR 80,NCV00007856,lower,R2 For Adoption,2013-02-12,other,115,0,5
lower,HR 81,NCV00007857,lower,R2 For Adoption,2013-02-12,other,115,0,5
lower,HB 82,NCV00007858,upper,Amendment 1,2013-03-05,other,19,31,0
lower,HB 82,NCV00007859,upper,Second Reading,2013-03-05,other,32,18,0
lower,HB 82,NCV00007860,upper,THIRD READING,2013-03-06,other,33,17,0
lower,HB 82,NCV00007861,lower,Second Reading,2013-02-19,other,75,41,4
lower,HB 82,NCV00007862,lower,A1 Luebke   Second Reading,2013-02-19,other,42,74,4
lower,HB 82,NCV00007863,lower,M4 Previous Question  Third Reading,2013-02-20,other,79,37,4
lower,HB 82,NCV00007864,lower,Third Reading,2013-02-20,other,80,36,4
lower,HR 85,NCV00007865,lower,R2 For Adoption,2013-02-12,other,118,0,2
lower,HJR 91,NCV00007866,lower,Motion 12 - Change HR to HJR  Second Reading,2013-02-13,other,108,0,12
lower,HJR 91,NCV00007867,lower,Second Reading,2013-02-13,other,109,0,11
lower,HB 97,NCV00007869,lower,A2 Horn   Second Reading,2013-02-28,other,111,1,8
lower,HB 97,NCV00007870,lower,Second Reading,2013-02-28,other,109,3,8
lower,HB 98,NCV00007871,lower,Second Reading,2013-02-20,other,112,0,8
lower,HB 105,NCV00007872,lower,Third Reading,2013-03-04,other,115,0,5
lower,HB 105,NCV00007873,lower,Second Reading,2013-02-28,other,112,0,8
lower,HB 105,NCV00007874,lower,A1 Murry   Second Reading,2013-02-28,other,111,1,8
lower,HJR 113,NCV00007875,lower,Second Reading,2013-02-27,other,116,0,4
lower,HB 114,NCV00007876,lower,Second Reading,2013-02-28,other,112,0,8
lower,HB 119,NCV00007877,lower,Second Reading,2013-02-28,other,108,3,9
lower,HB 120,NCV00007878,lower,Third Reading,2013-03-12,other,99,18,3
lower,HB 120,NCV00007879,lower,A3 Luebke   Third Reading,2013-03-12,other,115,3,2
lower,HB 120,NCV00007880,lower,A1 Hager   Second Reading,2013-03-11,other,109,3,8
lower,HB 120,NCV00007881,lower,Second Reading,2013-03-11,other,88,26,6
lower,HB 122,NCV00007883,lower,Second Reading,2013-03-04,other,115,0,5
lower,HJR 138,NCV00007884,upper,SECOND READING,2013-02-28,other,47,0,3
lower,HJR 138,NCV00007885,lower,Second Reading,2013-02-26,other,114,0,6
lower,HB 139,NCV00007886,lower,Second Reading,2013-02-28,other,111,0,9
lower,HB 140,NCV00007887,lower,Second Reading,2013-03-11,other,114,0,6
lower,HB 142,NCV00007888,lower,Second Reading,2013-03-13,other,117,0,3
lower,HB 147,NCV00007889,lower,Second Reading,2013-03-07,other,113,0,7
lower,HB 180,NCV00007891,upper,SECOND READING,2013-03-13,other,50,0,0
lower,HB 180,NCV00007892,lower,Second Reading,2013-03-06,other,114,0,6
lower,HR 216,NCV00007893,lower,R2 For Adoption,2013-03-06,other,115,0,5
lower,HR 275,NCV00007895,lower,A1   R2 For Adoption,2013-03-12,other,118,0,2
upper,SB 168,NCV00007898,upper,SECOND READING,2013-03-19,other,40,7,3
lower,HB 31,NCV00007899,lower,Second Reading,2013-03-19,other,108,10,2
lower,HB 40,NCV00007901,lower,Second Reading,2013-03-19,other,115,3,2
lower,HB 57,NCV00007902,lower,Second Reading,2013-03-19,other,118,0,2
lower,HB 125,NCV00007903,lower,Second Reading,2013-03-19,other,117,0,3
lower,HB 150,NCV00007904,lower,A1 Moffitt   Second Reading,2013-03-19,other,113,2,5
lower,HB 150,NCV00007905,lower,Second Reading,2013-03-19,other,94,22,4
lower,HB 161,NCV00007906,lower,A1 Whitmire   Second Reading,2013-03-19,other,116,0,4
lower,HB 161,NCV00007907,lower,Second Reading,2013-03-19,other,87,31,2
lower,HB 183,NCV00007908,lower,"A1 Moore, T.   Second Reading",2013-03-19,other,117,0,3
lower,HB 189,NCV00007910,lower,Second Reading,2013-03-19,other,117,1,2
lower,HB 209,NCV00007911,lower,Second Reading,2013-03-19,other,118,0,2
lower,HJR 271,NCV00007912,lower,Second Reading,2013-03-19,other,117,0,3
upper,SB 50,NCV00007914,lower,Second Reading,2013-03-20,other,117,0,3
upper,SB 84,NCV00007915,lower,Second Reading,2013-03-20,other,114,0,6
upper,SB 97,NCV00007916,lower,Second Reading,2013-03-20,other,117,0,3
upper,SB 148,NCV00007917,upper,SECOND READING,2013-03-20,other,48,0,2
upper,SB 168,NCV00007918,upper,THIRD READING,2013-03-20,other,48,0,2
upper,SB 175,NCV00007919,upper,SECOND READING,2013-03-20,other,48,0,2
upper,SB 200,NCV00007920,upper,SECOND READING,2013-03-20,other,48,0,2
upper,SB 205,NCV00007921,upper,SECOND READING,2013-03-20,other,48,0,2
lower,HB 18,NCV00007922,lower,Second Reading,2013-03-20,other,94,22,4
lower,HB 150,NCV00007923,lower,Third Reading,2013-03-20,other,98,18,4
lower,HB 150,NCV00007924,lower,A2 Dollar   Third Reading,2013-03-20,other,116,1,3
lower,HB 180,NCV00007925,lower,M11 Concur,2013-03-20,other,115,0,5
lower,HB 249,NCV00007927,lower,Second Reading,2013-03-20,other,117,0,3
lower,HB 250,NCV00007928,lower,Second Reading,2013-03-20,other,117,0,3
lower,HB 250,NCV00007929,lower,A1 Michaux   Second Reading,2013-03-20,other,117,0,3
lower,HB 255,NCV00007930,lower,Second Reading,2013-03-20,other,114,1,5
lower,HB 257,NCV00007931,lower,Second Reading,2013-03-20,other,114,0,6
upper,SB 8,NCV00007933,upper,SECOND READING,2013-03-21,other,47,0,3
upper,SB 36,NCV00007934,upper,Motion 9 To Concur,2013-03-21,other,1,46,3
upper,SB 71,NCV00007935,upper,SECOND READING,2013-03-21,other,47,0,3
upper,SB 83,NCV00007936,upper,SECOND READING,2013-03-21,other,47,0,3
upper,SB 177,NCV00007937,upper,SECOND READING,2013-03-21,other,46,0,4
upper,SB 200,NCV00007938,upper,Amendment 1,2013-03-21,other,47,0,3
upper,SB 200,NCV00007939,upper,Third Reading,2013-03-21,other,47,0,3
upper,SB 207,NCV00007940,upper,SECOND READING,2013-03-21,other,47,0,3
upper,SB 45,NCV00007941,upper,Motion 9 To Concur,2013-03-26,other,50,0,0
upper,SB 177,NCV00007942,upper,THIRD READING,2013-03-26,other,50,0,0
upper,SB 223,NCV00007943,upper,SECOND READING,2013-03-26,other,49,1,0
upper,SB 231,NCV00007944,upper,SECOND READING,2013-03-26,other,50,0,0
upper,SB 334,NCV00007945,upper,Second Reading,2013-03-26,other,29,21,0
upper,SB 334,NCV00007946,upper,Amendment 1,2013-03-26,other,30,20,0
lower,HB 17,NCV00007947,lower,A1 Jackson   Second Reading,2013-03-26,other,116,0,4
lower,HB 17,NCV00007948,lower,Second Reading,2013-03-26,other,97,20,3
lower,HB 199,NCV00007950,lower,Second Reading,2013-03-26,other,114,0,6
lower,HB 243,NCV00007951,lower,A1 Stevens   Second Reading,2013-03-26,other,114,0,6
lower,HB 243,NCV00007952,lower,Second Reading,2013-03-26,other,70,44,6
lower,HB 250,NCV00007953,lower,Third Reading,2013-03-26,other,114,1,5
lower,HB 250,NCV00007954,lower,A2 Starnes   Third Reading,2013-03-26,other,113,1,6
upper,SB 20,NCV00007955,lower,A1 Harrison   Second Reading,2013-03-27,other,113,5,2
upper,SB 20,NCV00007956,lower,A2 Faircloth   Second Reading,2013-03-27,other,117,1,2
upper,SB 20,NCV00007957,lower,Second Reading,2013-03-27,other,114,4,2
upper,SB 33,NCV00007959,lower,Second Reading,2013-03-27,other,116,2,2
upper,SB 97,NCV00007961,lower,Third Reading,2013-03-27,other,117,0,3
upper,SB 159,NCV00007962,upper,SECOND READING,2013-03-27,other,48,1,1
upper,SB 209,NCV00007963,upper,SECOND READING,2013-03-27,other,49,0,1
upper,SB 228,NCV00007964,upper,SECOND READING,2013-03-27,other,49,0,1
upper,SB 268,NCV00007965,upper,SECOND READING,2013-03-27,other,49,0,1
lower,HR 47,NCV00007966,lower,R2 For Adoption,2013-03-27,other,119,0,1
lower,HB 170,NCV00007967,lower,Second Reading,2013-03-27,other,115,2,3
lower,HB 181,NCV00007968,lower,Third Reading,2013-03-27,other,89,28,3
lower,HR 206,NCV00007970,lower,R2 For Adoption,2013-03-27,other,119,0,1
lower,HR 342,NCV00007971,lower,R2 For Adoption,2013-03-27,other,118,0,2
lower,HR 419,NCV00007972,lower,R2 For Adoption,2013-03-27,other,119,0,1
upper,SB 11,NCV00007973,lower,Second Reading,2013-03-28,other,114,0,6
upper,SB 20,NCV00007974,lower,Third Reading,2013-03-28,other,102,11,7
upper,SB 159,NCV00007975,upper,THIRD READING,2013-03-28,other,48,0,2
upper,SB 268,NCV00007976,upper,THIRD READING,2013-03-28,other,48,0,2
upper,SB 280,NCV00007977,upper,SECOND READING,2013-03-28,other,49,0,1
upper,SB 355,NCV00007978,upper,SECOND READING,2013-03-28,other,47,1,2
lower,HB 191,NCV00007979,lower,Third Reading,2013-03-28,other,114,0,6
lower,HB 222,NCV00007981,lower,A1 Moffitt   Second Reading,2013-03-28,other,112,0,8
lower,HB 223,NCV00007982,lower,Second Reading,2013-03-28,other,113,0,7
lower,HB 247,NCV00007983,lower,Second Reading,2013-03-28,other,102,10,8
lower,HB 297,NCV00007985,lower,Second Reading,2013-03-28,other,110,0,10
upper,SB 24,NCV00007986,lower,Second Reading,2013-04-02,other,105,12,3
upper,SB 33,NCV00007987,upper,Motion 9 To Concur,2013-04-02,other,49,0,1
upper,SB 208,NCV00007988,upper,Amendment 1,2013-04-02,other,49,0,1
upper,SB 208,NCV00007989,upper,Second Reading,2013-04-02,other,35,14,1
upper,SB 316,NCV00007990,upper,SECOND READING,2013-04-02,other,48,0,2
upper,SR 543,NCV00007991,upper,Motion 8 To Adopt,2013-04-02,other,49,0,1
lower,HB 11,NCV00007992,lower,Second Reading,2013-04-02,other,117,0,3
lower,HB 89,NCV00007993,lower,Second Reading,2013-04-02,other,117,0,3
lower,HB 243,NCV00007994,lower,A3 Luebke   Third Reading,2013-04-02,other,105,8,7
lower,HB 243,NCV00007995,lower,A2 Murry   Third Reading,2013-04-02,other,102,11,7
lower,HR 487,NCV00007997,lower,R2 For Adoption,2013-04-02,other,117,0,3
upper,SB 20,NCV00007998,upper,Motion 9 To Concur,2013-04-03,other,47,0,3
upper,SB 306,NCV00007999,upper,Amendment 1,2013-04-03,other,14,33,3
upper,SB 306,NCV00008000,upper,Motion 11 Divide Quest,2013-04-03,other,14,33,3
upper,SB 316,NCV00008002,upper,THIRD READING,2013-04-03,other,46,0,4
lower,HB 11,NCV00008003,lower,Third Reading,2013-04-03,other,115,0,5
lower,HJR 21,NCV00008004,lower,Third Reading,2013-04-03,other,81,32,7
lower,HJR 21,NCV00008005,lower,Second Reading,2013-04-03,other,81,32,7
lower,HB 211,NCV00008007,lower,Second Reading,2013-04-03,other,110,4,6
lower,HB 224,NCV00008008,lower,Second Reading,2013-04-03,other,76,37,7
lower,HB 224,NCV00008009,lower,A2 Fisher   Second Reading,2013-04-03,other,38,76,6
lower,HB 243,NCV00008011,lower,"A4 Brawley, W.   Third Reading",2013-04-03,other,55,59,6
lower,HB 243,NCV00008012,lower,Third Reading,2013-04-03,other,95,19,6
lower,HB 252,NCV00008013,lower,Second Reading,2013-04-03,other,74,40,6
lower,HB 254,NCV00008014,lower,Second Reading,2013-04-03,other,115,0,5
lower,HJR 259,NCV00008015,lower,Second Reading,2013-04-03,other,116,0,4
lower,HB 302,NCV00008016,lower,Second Reading,2013-04-03,other,110,0,10
upper,SB 240,NCV00008018,upper,SECOND READING,2013-04-04,other,48,0,2
upper,SB 336,NCV00008019,upper,SECOND READING,2013-04-04,other,48,0,2
upper,SB 369,NCV00008020,upper,SECOND READING,2013-04-04,other,49,0,1
upper,SB 379,NCV00008021,upper,SECOND READING,2013-04-04,other,49,0,1
upper,SB 386,NCV00008022,upper,SECOND READING,2013-04-04,other,49,0,1
upper,SB 387,NCV00008023,upper,SECOND READING,2013-04-04,other,49,0,1
upper,SB 433,NCV00008024,upper,SECOND READING,2013-04-04,other,49,0,1
upper,SB 445,NCV00008025,upper,Second Reading,2013-04-04,other,49,0,1
upper,SB 445,NCV00008026,upper,Amendment 1,2013-04-04,other,49,0,1
lower,HB 41,NCV00008027,lower,Second Reading,2013-04-04,other,109,1,10
lower,HB 139,NCV00008028,upper,SECOND READING,2013-04-04,other,49,0,1
lower,HB 163,NCV00008030,lower,Second Reading,2013-04-04,other,109,1,10
lower,HB 214,NCV00008031,lower,Second Reading,2013-04-04,other,108,0,12
lower,HB 302,NCV00008032,lower,Third Reading,2013-04-04,other,102,0,18
lower,HB 384,NCV00008034,lower,Second Reading,2013-04-04,other,109,0,11
lower,HB 384,NCV00008035,lower,A1 Stevens   Second Reading,2013-04-04,other,109,0,11
lower,HB 387,NCV00008036,lower,Second Reading,2013-04-04,other,110,0,10
lower,HB 435,NCV00008037,lower,A1 Langdon   Second Reading,2013-04-04,other,110,0,10
lower,HB 435,NCV00008038,lower,Second Reading,2013-04-04,other,105,4,11
lower,HB 490,NCV00008039,lower,Second Reading,2013-04-04,other,69,38,13
lower,HB 490,NCV00008040,lower,A1 Stone   Second Reading,2013-04-04,other,106,2,12
upper,SB 91,NCV00008041,lower,A1 Stam   Third Reading,2013-04-11,other,105,4,11
upper,SB 91,NCV00008042,lower,Second Reading,2013-04-09,other,70,47,3
upper,SB 98,NCV00008043,upper,Amendment 1,2013-04-11,other,46,0,4
upper,SB 98,NCV00008044,upper,Second Reading,2013-04-11,other,46,0,4
upper,SB 124,NCV00008046,upper,SECOND READING,2013-04-10,other,49,0,1
upper,SB 140,NCV00008047,upper,Amendment 1,2013-04-09,other,41,5,4
upper,SB 140,NCV00008048,upper,Third Reading,2013-04-09,other,46,0,4
upper,SB 140,NCV00008049,upper,SECOND READING,2013-04-08,other,48,0,2
upper,SB 175,NCV00008051,lower,Second Reading,2013-04-09,other,117,0,3
upper,SR 196,NCV00008052,upper,Motion 8 To Adopt,2013-04-10,other,48,0,2
upper,SB 228,NCV00008053,lower,Second Reading,2013-04-11,other,107,0,13
upper,SB 234,NCV00008054,upper,SECOND READING,2013-04-10,other,49,0,1
upper,SB 290,NCV00008055,upper,SECOND READING,2013-04-11,other,46,0,4
upper,SB 353,NCV00008056,upper,Amendment 1,2013-04-08,other,48,0,2
upper,SB 353,NCV00008057,upper,Second Reading,2013-04-08,other,48,0,2
upper,SB 388,NCV00008058,upper,SECOND READING,2013-04-10,other,49,0,1
upper,SB 411,NCV00008059,upper,SECOND READING,2013-04-10,other,49,0,1
upper,SB 470,NCV00008060,upper,Amendment 1,2013-04-11,other,46,0,4
upper,SB 470,NCV00008061,upper,Second Reading,2013-04-11,other,46,0,4
upper,SB 528,NCV00008062,upper,SECOND READING,2013-04-10,other,49,0,1
upper,SB 603,NCV00008063,upper,SECOND READING,2013-04-11,other,45,1,4
upper,SB 659,NCV00008064,upper,SECOND READING,2013-04-11,other,46,0,4
upper,SB 709,NCV00008065,upper,SECOND READING,2013-04-11,other,45,1,4
lower,HB 110,NCV00008066,lower,Second Reading,2013-04-11,other,108,2,10
lower,HB 127,NCV00008067,lower,M4 Previous Question  Second Reading,2013-04-10,other,101,15,4
