state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
nc,2011,lower,HB 1088,Graham/Swain TVA Allocation/Border.,2012-05-24 01:00:25.224000,2012-08-30 01:54:07.214000,bill,"Legislative Affairs|Municipal and County Issues|Energy|Environmental|Budget, Spending, and Taxes|Housing and Property|Public Services|Legal Issues"
nc,2011,lower,HB 1089,Study Online Higher Education.,2012-05-24 01:00:25.246000,2012-08-22 02:05:48.012000,bill,"Legislative Affairs|Public Services|Executive Branch|Other|Budget, Spending, and Taxes|State Agencies|Education"
nc,2011,lower,HB 109,Extend Reporting on Baby Boomer Preparations.,2011-02-16 00:05:52.647000,2012-08-22 02:05:02.397000,bill,Senior Issues|Public Services|Education|Legislative Affairs
nc,2011,lower,HB 1090,Orange-Alamance Remaining 9% Boundary.,2012-05-24 01:00:25.261000,2012-08-30 01:54:07.307000,bill,"Legal Issues|Legislative Affairs|Public Services|Municipal and County Issues|Environmental|Other|Budget, Spending, and Taxes|Housing and Property"
nc,2011,lower,HB 1091,Orange Grants for Broadband.,2012-05-24 01:00:25.276000,2012-08-22 02:05:48.172000,bill,"Commerce|Legislative Affairs|Municipal and County Issues|Other|Technology and Communication|Budget, Spending, and Taxes|Education"
nc,2011,lower,HB 1092,Restore Funding/Services for Women.,2012-05-24 01:00:25.330000,2012-08-22 02:05:48.176000,bill,"Legal Issues|Public Services|Sexual Orientation and Gender Issues|Crime|Other|Health|Budget, Spending, and Taxes|State Agencies"
nc,2011,lower,HB 1093,Agricultural Regulatory Reform.,2012-05-24 01:00:25.371000,2012-08-25 02:07:36.284000,bill,Legal Issues|Legislative Affairs|Public Services|Agriculture and Food|Environmental|Other|Health|Housing and Property|State Agencies
nc,2011,lower,HB 1094,Continue Local Food Advisory Council.,2012-05-24 01:00:25.385000,2012-08-22 02:05:48.221000,bill,Commerce|Legal Issues|Legislative Affairs|Public Services|Agriculture and Food|Environmental|Other
nc,2011,lower,HB 1095,Small Farm Profitability/Egg Sales.,2012-05-24 01:00:25.410000,2012-08-22 02:05:48.224000,bill,Agriculture and Food|Commerce|Public Services|Business and Consumers|Animal Rights and Wildlife Issues
nc,2011,lower,HB 1096,Simplify Beverage Contract Bids.,2012-05-24 01:00:25.472000,2012-08-30 01:54:07.364000,bill,Commerce|Municipal and County Issues|Legislative Affairs|Public Services|Agriculture and Food|Labor and Employment|State Agencies|Education|Business and Consumers
nc,2011,lower,HB 1097,Fund Child Nutrition Salary&Benefit Cost Inc.,2012-05-24 01:00:25.485000,2012-08-22 02:05:48.381000,bill,"Legislative Affairs|Municipal and County Issues|Public Services|Agriculture and Food|Labor and Employment|Health|Budget, Spending, and Taxes|State Agencies|Education"
nc,2011,lower,HB 1098,Continue the Sustainable Local Food Advisory.,2012-05-24 01:00:25.504000,2012-08-22 02:05:48.387000,bill,Commerce|Legislative Affairs|Public Services|Agriculture and Food|Environmental|Other
nc,2011,lower,HB 1099,Support Procurement & Farm to School/Funds.,2012-05-24 01:00:25.530000,2012-08-22 02:05:48.396000,bill,"Legislative Affairs|Family and Children Issues|Public Services|Agriculture and Food|Health|Budget, Spending, and Taxes|State Agencies|Education"
nc,2011,lower,HB 11,No Postsecondary Education/Illegal Aliens.,2011-02-01 17:38:01.289000,2012-08-22 02:04:57.108000,bill,Public Services|Education|Immigration
nc,2011,lower,HB 110,Task Force on Fraud Against Older Adults.,2011-02-16 00:05:52.649000,2012-08-22 02:05:02.401000,bill,Senior Issues|Legislative Affairs|Commerce|Public Services|Crime|Other|State Agencies|Business and Consumers
nc,2011,lower,HB 1100,Funds for NC Food Banks.,2012-05-24 01:00:25.639000,2012-08-22 02:05:48.401000,bill,"Municipal and County Issues|Public Services|Agriculture and Food|Health|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers|Welfare and Poverty"
nc,2011,lower,HB 1101,Funds/Children's Advocacy Centers.,2012-05-24 01:00:25.818000,2012-08-22 02:05:48.406000,bill,"Family and Children Issues|Public Services|Health|Budget, Spending, and Taxes|State Agencies|Education"
nc,2011,lower,HB 1102,Funds/One NC Small Business Account.,2012-05-24 01:00:26.108000,2012-08-22 02:05:48.410000,bill,"Commerce|Public Services|Business and Consumers|Budget, Spending, and Taxes|Labor and Employment"
nc,2011,lower,HB 1103,Approp: NC Indian Econo. Dev. Initiative.,2012-05-24 01:00:26.304000,2012-08-22 02:05:48.414000,bill,"Commerce|Municipal and County Issues|Public Services|Civil Liberties and Civil Rights|Budget, Spending, and Taxes|Indigenous Peoples"
nc,2011,lower,HB 1104,Scholarship Funding Corporate Tax Credit.,2012-05-24 01:00:26.374000,2012-08-22 02:05:48.419000,bill,"Commerce|Legislative Affairs|Public Services|Other|Budget, Spending, and Taxes|Education|Business and Consumers"
nc,2011,lower,HB 1105,Modify Taxation of HOA Property,2012-05-24 01:00:26.461000,2012-08-30 01:54:07.616000,bill,"Commerce|Legal Issues|Legislative Affairs|Public Services|Labor and Employment|Other|Budget, Spending, and Taxes|Housing and Property|State Agencies"
nc,2011,lower,HB 1106,Apex Annexation.,2012-05-24 01:00:26.480000,2012-08-30 01:54:07.729000,bill,Legislative Affairs|Municipal and County Issues
nc,2011,lower,HB 1107,Granville County ABC Profits Distribution Mod.,2012-05-24 01:00:26.535000,2012-08-22 02:05:48.515000,bill,Legislative Affairs|State Agencies|Education|Legal Issues|Municipal and County Issues
nc,2011,lower,HB 1108,Butner Public Safety Authority Changes.,2012-05-24 01:00:26.583000,2012-08-22 02:05:48.523000,bill,Municipal and County Issues|Legislative Affairs|Public Services|Crime|Other|Legal Issues
nc,2011,lower,HB 1109,Dare CAMA Setback Req'ts./Grandfather.,2012-05-24 01:00:26.602000,2012-08-22 02:05:48.687000,bill,Transportation|Legal Issues|Municipal and County Issues|Agriculture and Food|Environmental|Housing and Property
nc,2011,lower,HB 111,Amend Firearms Law.,2011-02-16 00:05:52.652000,2012-08-22 02:05:02.425000,bill,Recreation|Transportation|Legal Issues|Public Services|Agriculture and Food|Guns
nc,2011,lower,HB 1110,Matthews/Stallings Boundary Adjustment.,2012-05-24 01:00:26.719000,2012-08-30 01:54:08.217000,bill,Transportation|Legislative Affairs|Municipal and County Issues
nc,2011,lower,HB 1111,Restore Military Morale & Welfare Fund.,2012-05-24 01:00:26.736000,2012-08-22 02:05:48.737000,bill,"Military|Public Services|Family and Children Issues|Budget, Spending, and Taxes"
nc,2011,lower,HB 1112,Arts Education as a Graduation Requirement.,2012-05-24 01:00:26.781000,2012-08-22 02:05:48.743000,bill,State Agencies|Education|Arts and Humanities|Public Services
nc,2011,lower,HB 1113,Implementation of Comprehensive Arts Educ.,2012-05-24 01:00:26.809000,2012-08-22 02:05:48.753000,bill,Public Services|Legislative Affairs|Municipal and County Issues
nc,2011,lower,HB 1114,NCEMPA/Use of Rate Revenue.,2012-05-24 01:00:26.826000,2012-08-30 01:54:08.452000,bill,Public Services|Municipal and County Issues|Legislative Affairs
nc,2011,lower,HB 1115,Wake Towns Local Gov'mt Info/Minors.,2012-05-24 01:00:26.919000,2012-08-22 02:05:49.025000,bill,Recreation|Municipal and County Issues|Family and Children Issues|Public Services|Civil Liberties and Civil Rights|State Agencies|Business and Consumers
nc,2011,lower,HB 1116,Small Business Jobs Credit.,2012-05-24 01:00:26.959000,2012-08-22 02:05:49.029000,bill,"Commerce|Public Services|Business and Consumers|Budget, Spending, and Taxes|Labor and Employment"
nc,2011,lower,HB 1117,Enhance R&D Tax Credit for Small Businesses.,2012-05-24 01:00:27.020000,2012-08-22 02:05:49.033000,bill,"Commerce|Public Services|Technology and Communication|Budget, Spending, and Taxes|Business and Consumers|Science and Medical Research"
nc,2011,lower,HB 1118,Small Business Start-Up Tax Relief.,2012-05-24 01:00:27.034000,2012-08-22 02:05:49.038000,bill,"Commerce|Public Services|Business and Consumers|Budget, Spending, and Taxes"
nc,2011,lower,HB 1119,LEAs Required to Enhance Arts Education.,2012-05-24 01:00:27.050000,2012-08-22 02:05:49.042000,bill,Transportation|Municipal and County Issues|Public Services|Other|Arts and Humanities|State Agencies|Education
nc,2011,lower,HB 112,Realign Wake Superior Court Districts.,2011-02-16 00:05:52.654000,2012-08-28 02:15:59.138000,bill,Public Services|Municipal and County Issues|Legislative Affairs|Judiciary
