state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
nc,2013,lower,HB 18,NCV00007922,lower,Second Reading,2013-03-20 15:07:00,other,94,22,4
nc,2013,lower,HB 177,NCV00008595,lower,Second Reading,2013-05-14 17:30:00,other,112,2,6
nc,2013,upper,SB 455,NCV00009592,lower,Second Reading,2013-07-11 12:46:00,other,109,1,9
nc,2013,upper,SJR 431,NCV00008950,lower,Second Reading,2013-06-05 16:05:00,other,115,0,5
nc,2013,upper,SB 877,NCV00010693,lower,Second Reading,2014-07-25 10:23:00,other,100,0,19
nc,2013,upper,SB 200,NCV00008945,lower,Second Reading,2013-06-05 14:15:00,other,114,0,6
nc,2013,lower,HB 980,NCV00008860,lower,Second Reading,2013-05-16 13:31:00,other,111,1,8
nc,2013,lower,HB 232,NCV00009507,lower,M11 Not Concur,2013-07-09 13:39:00,other,114,0,5
nc,2013,lower,HB 635,NCV00008317,lower,Second Reading,2013-04-30 15:06:00,other,118,0,2
nc,2013,lower,HB 756,NCV00008253,lower,Second Reading,2013-04-25 13:46:00,other,116,0,4
nc,2013,lower,HB 321,NCV00008123,lower,Second Reading,2013-04-15 19:31:00,other,111,0,9
nc,2013,lower,HB 392,NCV00009743,lower,M11 Not Concur,2013-07-22 16:21:00,other,111,0,9
nc,2013,lower,HB 868,NCV00008855,lower,Second Reading,2013-05-15 18:42:00,other,113,0,7
nc,2013,upper,SB 709,NCV00009324,lower,Second Reading,2013-06-27 16:40:00,other,44,64,12
nc,2013,upper,SB 793,NCV00010695,lower,M4 Previous Question  C RPT Adoption,2014-07-25 11:21:00,other,63,35,21
nc,2013,upper,SB 793,NCV00010662,lower,M12 Suspend Rules  C RPT Adoption,2014-07-24 14:13:00,other,69,37,13
nc,2013,upper,SB 793,NCV00010374,lower,A2 Riddell   Second Reading,2014-06-24 16:29:00,other,109,1,10
nc,2013,lower,HB 919,NCV00008692,lower,Second Reading,2013-05-14 15:01:00,other,115,1,4
nc,2013,lower,HB 716,NCV00008457,lower,A1 Schaffer   Second Reading,2013-05-07 18:02:00,other,118,0,2
nc,2013,lower,HB 712,NCV00010449,lower,M11 Concur,2014-06-25 15:53:00,other,87,26,7
nc,2013,lower,HB 712,NCV00008389,lower,Second Reading,2013-05-02 13:58:00,other,111,0,9
nc,2013,lower,HB 562,NCV00009377,lower,M11 Concur,2013-06-19 14:18:00,other,111,0,9
nc,2013,lower,HR 566,NCV00008112,lower,R2 For Adoption,2013-04-11 15:20:00,other,112,0,8
nc,2013,lower,HB 122,NCV00009887,lower,C RPT Adoption,2013-07-25 19:37:00,other,90,0,30
nc,2013,lower,HB 279,NCV00009038,lower,M11 Concur,2013-06-07 10:14:00,other,99,0,21
nc,2013,lower,HB 66,NCV00007848,lower,Second Reading,2013-02-12 14:59:00,other,101,13,6
nc,2013,lower,HB 951,NCV00009228,lower,Second Reading,2013-06-17 20:00:00,other,76,36,8
nc,2013,lower,HB 254,NCV00008014,lower,Second Reading,2013-04-03 16:23:00,other,115,0,5
nc,2013,lower,HB 153,NCV00008302,lower,Second Reading,2013-04-30 14:47:00,other,116,2,2
nc,2013,upper,SB 683,NCV00009319,lower,A1 Glazier   Second Reading,2013-06-27 18:29:00,other,100,0,20
nc,2013,lower,HB 662,NCV00009220,lower,M11 Not Concur,2013-06-17 19:33:00,other,112,0,8
nc,2013,lower,HB 783,NCV00009530,lower,M11 Concur,2013-07-09 14:00:00,other,114,0,5
nc,2013,lower,HB 1145,NCV00010667,lower,M11 Not Concur,2014-07-24 16:18:00,other,105,0,14
nc,2013,lower,HB 1145,NCV00010739,lower,M6 Reconsider  C RPT Adoption,2014-07-31 11:03:00,other,110,2,7
nc,2013,lower,HJR 599,NCV00008114,lower,Second Reading,2013-04-11 16:02:00,other,104,0,16
nc,2013,lower,HB 292,NCV00010243,lower,M11 Not Concur,2014-06-12 13:38:00,other,115,1,4
nc,2013,upper,SB 626,NCV00009667,lower,Second Reading,2013-07-17 15:54:00,other,98,1,21
nc,2013,lower,HB 98,NCV00007871,lower,Second Reading,2013-02-20 14:13:00,other,112,0,8
nc,2013,lower,HJR 1017,NCV00009568,lower,Second Reading,2013-07-10 14:23:00,other,111,0,8
nc,2013,upper,SB 240,NCV00008208,lower,Second Reading,2013-04-23 14:51:00,other,114,0,6
nc,2013,upper,SB 240,NCV00008207,lower,A1 Murry   Second Reading,2013-04-23 14:50:00,other,114,0,6
nc,2013,lower,HB 938,NCV00008859,lower,Second Reading,2013-05-16 14:28:00,other,108,1,11
nc,2013,upper,SB 25,NCV00009191,lower,Second Reading,2013-06-17 20:04:00,other,112,0,8
nc,2013,upper,SB 97,NCV00007961,lower,Third Reading,2013-03-27 15:19:00,other,117,0,3
nc,2013,upper,SB 630,NCV00009018,lower,Second Reading,2013-06-06 12:37:00,other,113,1,6
nc,2013,lower,HB 109,NCV00008753,lower,Second Reading,2013-05-15 18:25:00,other,113,1,6
nc,2013,upper,SB 639,NCV00009233,lower,Second Reading,2013-06-18 14:47:00,other,109,5,6
nc,2013,lower,HB 203,NCV00008151,lower,Second Reading,2013-04-17 15:38:00,other,111,1,8
nc,2013,lower,HB 467,NCV00009623,lower,M11 Concur,2013-07-15 19:50:00,other,113,0,7
nc,2013,lower,HB 9,NCV00008497,lower,Second Reading,2013-05-08 14:39:00,other,85,34,1
nc,2013,lower,HB 817,NCV00009399,lower,M11 Concur  R3 Ruled Mat'l,2013-06-19 14:20:00,other,105,7,8
nc,2013,lower,HB 817,NCV00008523,lower,Second Reading,2013-05-08 15:30:00,other,96,22,2
nc,2013,lower,HB 817,NCV00009241,lower,M11 Concur  R2 Ruled Mat'l,2013-06-18 14:16:00,other,105,8,7
nc,2013,upper,SB 117,NCV00008295,lower,C RPT Adopted,2013-04-30 14:22:00,other,118,0,2
nc,2013,lower,HB 969,NCV00008554,lower,Second Reading,2013-05-09 14:14:00,other,106,6,8
nc,2013,upper,SB 465,NCV00009549,lower,Second Reading,2013-07-10 14:54:00,other,108,0,11
nc,2013,lower,HB 450,NCV00008786,lower,Second Reading,2013-05-15 21:12:00,other,112,0,8
nc,2013,upper,SB 553,NCV00009870,lower,R2 Ruled Mat'l  C RPT Adoption,2013-07-25 11:48:00,other,113,0,7
nc,2013,lower,HR 583,NCV00008349,lower,R2 For Adoption,2013-05-01 14:54:00,other,117,0,3
nc,2013,lower,HB 321,NCV00009806,lower,C RPT Adoption,2013-07-24 13:48:00,other,117,0,3
nc,2009,lower,HB 1002,NCV00000001,upper,Second Reading,2009-08-06 19:54:00,other,36,0,14
nc,2009,lower,HB 1002,NCV00000002,lower,Second Reading,2009-05-13 20:02:00,other,114,0,6
nc,2009,lower,HB 1002,NCV00000003,lower,M11 Concur,2009-08-10 21:09:00,other,113,0,7
nc,2009,lower,HB 1005,NCV00000004,upper,Third Reading,2009-07-15 17:06:00,other,42,5,3
nc,2009,lower,HB 1005,NCV00000005,upper,Second Reading,2009-07-07 16:09:00,other,44,4,2
nc,2009,lower,HB 1005,NCV00000006,lower,Second Reading,2009-05-14 16:42:00,other,106,8,6
nc,2009,lower,HB 1005,NCV00000007,lower,M11 Concur,2009-07-23 13:24:00,other,101,13,6
nc,2009,lower,HB 1009,NCV00000008,upper,Second Reading,2009-06-29 19:18:00,other,47,0,3
nc,2009,lower,HB 1009,NCV00000009,lower,M11 Concur,2009-07-02 13:35:00,other,113,1,6
nc,2009,lower,HB 1009,NCV00000010,lower,A1 Bell\Second Reading,2009-05-14 16:46:00,other,111,2,7
nc,2009,lower,HB 1009,NCV00000011,lower,Second Reading,2009-05-14 16:47:00,other,109,2,9
nc,2009,lower,HB 1011,NCV00000012,upper,Second Reading,2009-07-08 14:09:00,other,45,1,4
nc,2009,lower,HB 1011,NCV00000013,upper,Third Reading,2009-07-09 12:16:00,other,38,2,10
nc,2009,lower,HB 1011,NCV00000014,lower,Third Reading,2009-06-01 19:16:00,other,95,10,13
nc,2009,lower,HB 1011,NCV00000015,lower,Second Reading,2009-05-28 13:20:00,other,112,3,4
nc,2009,lower,HB 1014,NCV00000016,lower,Second Reading,2009-04-23 10:44:00,other,108,0,12
nc,2009,lower,HB 102,NCV00000017,upper,Conference Rpt\Motion 7\To Adopt,2009-07-30 13:50:00,other,37,1,12
nc,2009,lower,HB 102,NCV00000018,upper,Amendment 1\Motion 1\To Table,2009-07-29 16:02:00,other,28,19,3
nc,2009,lower,HB 102,NCV00000019,upper,Second Reading,2009-07-29 16:03:00,other,46,1,3
nc,2009,lower,HB 102,NCV00000020,lower,C Rpt Adopt,2009-07-30 14:06:00,other,102,5,13
nc,2009,lower,HB 102,NCV00000021,lower,M11 Not Concur,2009-07-30 11:24:00,other,108,0,12
nc,2009,lower,HB 102,NCV00000022,lower,Second Reading,2009-03-16 19:22:00,other,113,0,7
nc,2009,lower,HB 1020,NCV00000023,upper,Second Reading,2009-08-04 17:11:00,other,46,0,4
nc,2009,lower,HB 1020,NCV00000024,lower,Second Reading,2009-05-14 10:20:00,other,118,0,2
nc,2009,lower,HB 1021,NCV00000025,upper,Second Reading,2009-06-11 12:22:00,other,45,0,5
nc,2009,lower,HB 1021,NCV00000026,lower,Second Reading,2009-05-14 16:51:00,other,114,0,6
nc,2009,lower,HB 1021,NCV00000027,lower,M11 Concur,2009-06-17 15:27:00,other,115,0,3
nc,2009,lower,HB 1021,NCV00000028,lower,COMM AMEND 1\Second Reading,2009-05-14 16:49:00,other,112,0,8
nc,2009,lower,HB 1027,NCV00000029,upper,Second Reading,2009-06-01 19:19:00,other,48,0,2
nc,2009,lower,HB 1027,NCV00000030,lower,Second Reading,2009-05-07 14:43:00,other,108,0,12
nc,2009,lower,HB 103,NCV00000031,upper,Second Reading,2009-06-11 11:15:00,other,44,1,5
nc,2009,lower,HB 103,NCV00000032,lower,Second Reading,2009-03-30 19:30:00,other,115,1,4
nc,2009,lower,HB 103,NCV00000033,lower,M11 Concur,2009-06-17 15:23:00,other,115,0,3
nc,2009,lower,HB 1031,NCV00000034,upper,Second Reading,2009-06-04 11:42:00,other,45,0,5
nc,2009,lower,HB 1031,NCV00000035,lower,Second Reading,2009-05-14 11:40:00,other,116,0,4
nc,2009,lower,HB 1031,NCV00000036,lower,M11 Concur,2009-06-10 15:36:00,other,115,0,3
nc,2009,lower,HB 1032,NCV00000037,upper,Second Reading,2009-06-11 12:24:00,other,41,4,5
nc,2009,lower,HB 1032,NCV00000038,lower,M11 Concur,2009-06-18 13:29:00,other,109,9,2
nc,2009,lower,HB 1032,NCV00000039,lower,A1 Glazier\Second Reading,2009-05-06 16:48:00,other,114,0,6
nc,2009,lower,HB 1032,NCV00000040,lower,A2 Starnes\Second Reading,2009-05-06 16:50:00,other,113,1,6
nc,2009,lower,HB 1032,NCV00000041,lower,Second Reading,2009-05-06 16:58:00,other,100,14,6
nc,2009,lower,HB 1034,NCV00000042,upper,Second Reading,2009-07-08 15:22:00,other,45,0,5
nc,2009,lower,HB 1034,NCV00000043,lower,M11 Concur,2009-07-15 15:39:00,other,116,0,4
nc,2009,lower,HB 1034,NCV00000044,lower,Second Reading,2009-04-29 14:13:00,other,115,0,5
nc,2009,lower,HB 1035,NCV00000045,upper,Third Reading,2010-07-08 10:31:00,other,34,13,3
nc,2009,lower,HB 1035,NCV00000046,upper,Amendment 1,2010-07-07 17:50:00,other,48,0,2
nc,2009,lower,HB 1035,NCV00000047,upper,Second Reading,2010-07-07 17:52:00,other,30,18,2
nc,2009,lower,HB 1035,NCV00000048,lower,M11 Concur,2010-07-08 17:09:00,other,59,50,11
nc,2009,lower,HB 1035,NCV00000049,lower,Second Reading,2009-05-14 16:53:00,other,111,0,9
nc,2009,lower,HB 1037,NCV00000050,upper,Second Reading,2009-06-01 19:21:00,other,48,0,2
nc,2009,lower,HB 1037,NCV00000051,lower,Second Reading,2009-04-28 16:11:00,other,112,1,7
nc,2009,lower,HB 1039,NCV00000052,upper,Second Reading,2009-06-01 19:22:00,other,48,0,2
nc,2009,lower,HB 1039,NCV00000053,lower,Second Reading,2009-04-28 16:14:00,other,113,0,7
nc,2009,lower,HB 104,NCV00000054,upper,Second Reading,2009-08-05 16:15:00,other,47,0,3
nc,2009,lower,HB 104,NCV00000055,lower,M11 Concur,2009-08-10 21:35:00,other,113,0,7
nc,2009,lower,HB 104,NCV00000056,lower,Second Reading,2009-03-04 15:59:00,other,117,0,3
nc,2009,lower,HB 1046,NCV00000057,upper,Second Reading,2009-06-11 12:26:00,other,44,0,6
nc,2009,lower,HB 1046,NCV00000058,lower,Second Reading,2009-05-14 11:42:00,other,114,0,6
nc,2009,lower,HB 1048,NCV00000059,lower,Second Reading,2009-05-04 20:19:00,other,115,0,5
nc,2009,lower,HB 105,NCV00000060,upper,Second Reading,2009-04-07 16:25:00,other,48,0,2
nc,2009,lower,HB 105,NCV00000061,lower,Second Reading,2009-03-24 15:22:00,other,113,0,7
nc,2009,lower,HB 1057,NCV00000062,upper,Second Reading,2009-07-27 19:21:00,other,41,5,4
nc,2009,lower,HB 1057,NCV00000063,lower,M11 Concur,2009-07-30 13:38:00,other,104,5,11
nc,2009,lower,HB 1057,NCV00000064,lower,Third Reading,2009-05-12 15:26:00,other,68,46,6
nc,2009,lower,HB 1057,NCV00000065,lower,A1 Stam\Third Reading,2009-05-12 15:16:00,other,114,0,6
nc,2009,lower,HB 1057,NCV00000066,lower,Second Reading,2009-05-11 20:03:00,other,75,42,3
nc,2009,lower,HB 1058,NCV00000067,upper,Second Reading,2009-07-16 11:21:00,other,47,0,3
nc,2009,lower,HB 1058,NCV00000068,lower,A1 Tillis\Second Reading,2009-05-13 20:08:00,other,115,2,3
nc,2009,lower,HB 1058,NCV00000069,lower,Third Reading,2009-05-14 11:59:00,other,66,50,4
nc,2009,lower,HB 1058,NCV00000070,lower,A5 Stam\Third Reading,2009-05-14 11:59:00,other,114,3,3
nc,2009,lower,HB 1058,NCV00000071,lower,M11 Concur,2009-07-27 19:28:00,other,71,40,9
nc,2009,lower,HB 1058,NCV00000072,lower,A2 Glazier\Second Reading,2009-05-14 09:53:00,other,118,0,2
nc,2009,lower,HB 1058,NCV00000073,lower,A3 Stam\Second Reading,2009-05-14 10:11:00,other,99,18,3
nc,2009,lower,HB 1058,NCV00000074,lower,Second Reading,2009-05-14 10:13:00,other,62,55,3
nc,2009,lower,HB 1073,NCV00000075,upper,Second Reading,2009-07-08 15:23:00,other,45,0,5
nc,2009,lower,HB 1073,NCV00000076,upper,Third Reading\Motion 6\To Reconsider,2009-07-08 15:33:00,other,45,1,4
nc,2009,lower,HB 1073,NCV00000077,upper,Third Reading,2009-07-09 12:41:00,other,44,0,6
nc,2009,lower,HB 1073,NCV00000078,lower,M11 Concur,2009-07-15 15:40:00,other,116,0,4
nc,2009,lower,HB 1073,NCV00000079,lower,Second Reading,2009-05-14 11:44:00,other,117,0,3
nc,2009,lower,HB 1076,NCV00000080,upper,Amendment 1,2010-06-16 15:14:00,other,47,0,3
nc,2009,lower,HB 1076,NCV00000081,lower,Second Reading,2009-05-12 16:55:00,other,114,0,6
nc,2009,lower,HB 1077,NCV00000082,upper,Second Reading,2009-07-15 16:51:00,other,46,0,4
nc,2009,lower,HB 1077,NCV00000083,lower,Second Reading,2009-05-13 20:17:00,other,117,0,3
nc,2009,lower,HB 1077,NCV00000084,lower,M11 Concur,2009-07-22 17:12:00,other,113,0,7
nc,2009,lower,HB 1078,NCV00000085,upper,Second Reading,2009-07-09 12:32:00,other,44,0,6
nc,2009,lower,HB 1078,NCV00000086,upper,Amendment 1,2009-07-09 12:30:00,other,44,0,6
nc,2009,lower,HB 1078,NCV00000087,lower,Second Reading,2009-05-13 20:20:00,other,114,1,5
nc,2009,lower,HB 1078,NCV00000088,lower,M11 Concur,2009-07-23 13:26:00,other,115,0,5
nc,2009,lower,HB 1079,NCV00000089,upper,Amendment 1,2009-06-16 13:49:00,other,43,0,7
nc,2009,lower,HB 1079,NCV00000090,upper,Second Reading,2009-06-16 13:49:00,other,43,0,7
nc,2009,lower,HB 1079,NCV00000091,lower,Second Reading,2009-04-30 14:23:00,other,60,55,5
nc,2009,lower,HB 1079,NCV00000092,lower,Sen. Amend. #1\M11 Concur,2009-06-22 19:19:00,other,94,22,4
nc,2009,lower,HB 1079,NCV00000093,lower,Third Reading,2009-05-04 20:06:00,other,66,49,5
nc,2009,lower,HB 1083,NCV00000094,upper,Second Reading,2009-06-03 15:48:00,other,47,0,3
nc,2009,lower,HB 1083,NCV00000095,lower,Second Reading,2009-05-11 20:04:00,other,116,0,4
nc,2009,lower,HB 1084,NCV00000096,upper,Second Reading,2009-07-20 19:31:00,other,42,0,8
nc,2009,lower,HB 1084,NCV00000097,lower,Second Reading,2009-05-12 16:57:00,other,112,2,6
nc,2009,lower,HB 1087,NCV00000098,upper,Amendment 1,2009-06-11 12:29:00,other,45,0,5
nc,2009,lower,HB 1087,NCV00000099,upper,Second Reading,2009-06-11 12:30:00,other,45,0,5
nc,2009,lower,HB 1087,NCV00000100,lower,Second Reading,2009-05-14 11:46:00,other,113,0,7
nc,2009,lower,HB 1087,NCV00000101,lower,M11 Concur,2009-06-17 15:29:00,other,115,0,3
nc,2009,lower,HB 1088,NCV00000102,upper,Third Reading,2009-06-15 19:45:00,other,45,0,5
nc,2009,lower,HB 1088,NCV00000103,upper,Second Reading,2009-06-11 12:32:00,other,44,1,5
nc,2009,lower,HB 1088,NCV00000104,lower,Second Reading,2009-05-14 11:48:00,other,116,1,3
nc,2009,lower,HB 109,NCV00000105,upper,Second Reading,2009-07-30 13:30:00,other,41,0,9
nc,2009,lower,HB 109,NCV00000106,lower,M11 Concur,2009-08-06 16:44:00,other,111,0,9
nc,2009,lower,HB 1090,NCV00000107,upper,Second Reading,2009-07-08 15:28:00,other,28,17,5
nc,2009,lower,HB 1090,NCV00000108,lower,M11 Concur,2009-07-15 15:41:00,other,114,2,4
nc,2009,lower,HB 1090,NCV00000109,lower,Second Reading,2009-05-11 20:07:00,other,114,3,3
nc,2009,lower,HB 1091,NCV00000110,upper,Second Reading,2009-06-22 19:20:00,other,46,0,4
nc,2009,lower,HB 1091,NCV00000111,lower,Second Reading,2009-05-04 20:22:00,other,115,0,5
nc,2009,lower,HB 1093,NCV00000112,upper,Second Reading,2009-06-24 15:51:00,other,45,1,4
nc,2009,lower,HB 1093,NCV00000113,upper,Third Reading,2009-06-25 13:23:00,other,45,1,4
nc,2009,lower,HB 1093,NCV00000114,lower,Second Reading,2009-05-11 20:09:00,other,97,20,3
