cycle,amount,contributor_name,organization_name
2012,1000,MCGUIREWOODS,MCGUIREWOODS
2012,1000,NORTH CAROLINA ASSOCIATION OF NURSE ANESTHETISTS,NORTH CAROLINA ASSOCIATION OF NURSE ANESTHETISTS
2012,1000,RALEIGH ORTHOPAEDIC CLINIC,RALEIGH ORTHOPAEDIC CLINIC
2012,1000,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA
2012,1000,NORTH CAROLINA ORTHOPAEDIC ASSOCIATION,NORTH CAROLINA ORTHOPAEDIC ASSOCIATION
2012,1000,CENTURYLINK,CENTURYLINK
2012,1000,PFIZER,PFIZER
2012,1000,BANK OF AMERICA,BANK OF AMERICA
2012,1000,NORTH CAROLINA HOME BUILDERS ASSOCIATION,NORTH CAROLINA HOME BUILDERS ASSOCIATION
2012,1000,WARD & SMITH,WARD & SMITH
2012,1000,WAKE EMERGENCY PHYSICIANS,WAKE EMERGENCY PHYSICIANS
2012,1000,NORTH CAROLINA FARM BUREAU,NORTH CAROLINA FARM BUREAU
2010,1000,RJ REYNOLDS TOBACCO,RJ REYNOLDS TOBACCO
2010,1000,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA
2010,1000,NORTH CAROLINA TELEPHONE COOPERATIVE COALITION,NORTH CAROLINA TELEPHONE COOPERATIVE COALITION
2010,1000,NORTH CAROLINA HOSPITAL ASSOCIATION,NORTH CAROLINA HOSPITAL ASSOCIATION
2010,1000,NORTH CAROLINA MEDICAL SOCIETY,NORTH CAROLINA MEDICAL SOCIETY
2010,1000,INDEPENDENT INSURANCE AGENTS OF NORTH CAROLINA,INDEPENDENT INSURANCE AGENTS OF NORTH CAROLINA
2010,1000,NORTH CAROLINA HEALTH CARE FACILITIES ASSOCIATION,NORTH CAROLINA HEALTH CARE FACILITIES ASSOCIATION
2010,1000,PROGRESS ENERGY,PROGRESS ENERGY
2008,1000,NORTH CAROLINA HOME BUILDERS ASSOCIATION,NORTH CAROLINA HOME BUILDERS ASSOCIATION
2006,1000,CMTE TO ELECT SAM ELLIS,CMTE TO ELECT SAM ELLIS
2006,1000,CMTE TO ELECT SAM ELLIS,CMTE TO ELECT SAM ELLIS
2006,1000,NORTH CAROLINA ASSOCIATION OF REALTORS,NORTH CAROLINA ASSOCIATION OF REALTORS
