organization-index,organization,indiv,pac,totals,
68,Association of American Railroads,0,2000,2000,
69,American Trucking Assns,0,2000,2000,
70,American Bakers Assn,0,2000,2000,
71,American Hospital Assn,0,2000,2000,
72,General Aviation Manufacturers Assn,0,2000,2000,
73,General Dynamics,0,2000,2000,
74,Jim Jordan for Congress,0,2000,2000,
75,International Paper,0,2000,2000,
76,Comcast Corp,0,2000,2000,
77,Rug & Home,1500,0,1500,
78,Western Carolina University,1500,0,1500,
79,Turf Mountain Sod,1300,0,1300,
80,Cooper Construction,1250,0,1250,
81,Shelley's Jewelry,1231,0,1231,
82,Funding Developing Leadership PAC,0,1071,1071,
83,Hankey Technology Investments,1000,0,1000,
84,Gibco Construction,1000,0,1000,
85,Irell & Manella,1000,0,1000,
86,JE Dunn Construction Group,0,1000,1000,
87,JH Reaben Oil & Supply Co,1000,0,1000,
88,K&L Gates,0,1000,1000,
89,Kenny Barnwell Orchards,1000,0,1000,
90,HDR Inc,0,1000,1000,
91,"Coward, Hicks & Siler",1000,0,1000,
92,Dafna Capital Management,1000,0,1000,
93,Eagle Forum,0,1000,1000,
94,Ford Motor Co,0,1000,1000,
95,FedEx Corp,0,1000,1000,
96,Financial Services Roundtable,0,1000,1000,
97,First Citizens Bancshares,0,1000,1000,
98,Airlines for America,0,1000,1000,
99,Altria Group,0,1000,1000,
100,AMR Corp,0,1000,1000,
101,American Orthotic & Prosthetic Assn,0,1000,1000,
102,American Short Line & Regional RR Assn,0,1000,1000,
103,Coastal Federal Credit Union,0,1000,1000,
104,Camp Greystone,1000,0,1000,
105,Care One,1000,0,1000,
106,Book Retailer,1000,0,1000,
107,Broyhill Investments,1000,0,1000,
108,Bryant & Young Lumber Co,1000,0,1000,
109,Buckeye Liberty PAC,0,1000,1000,
110,Balfour Beatty,0,1000,1000,
111,Baxter International,0,1000,1000,
112,Bernhardt Furniture,1000,0,1000,
113,Smart Entertainment,1000,0,1000,
114,Taco Bell Franchisees,0,1000,1000,
115,Torg,1000,0,1000,
116,Transportation Intermediaries Assn,0,1000,1000,
117,Trustee Office Founation,1000,0,1000,
118,Turkish Coalition USA PAC,0,1000,1000,
119,S&F Management,1000,0,1000,
120,United Parcel Service,0,1000,1000,
121,United Transportation Union,0,1000,1000,
122,Van Wingerden International,1000,0,1000,
123,WNC Pallet & Forest Products,1000,0,1000,
124,Vulcan Materials,0,1000,1000,
125,West Insurance Agency,1000,0,1000,
126,National Restaurant Assn,0,1000,1000,
127,National Fedn of Independent Business,0,1000,1000,
128,National Asphalt Pavement Assn,0,1000,1000,
129,Landmark Realty Group,1000,0,1000,
130,Leucadia National,1000,0,1000,
131,Lowe's Companies,0,1000,1000,
132,Old Dominion Freight Line,0,1000,1000,
133,North Bay Produce,1000,0,1000,
134,Philip Morris International,1000,0,1000,
135,Pfizer Inc,0,1000,1000,
136,Proctor Wholesale,1000,0,1000,
137,Rite Aid Corp,0,1000,1000,
138,Rock-Tenn Co,0,1000,1000,
